date,close
-796562.00,191
-795149.00,188.4
-794517.00,189.3
-793252.00,195.2
-792658.00,199.4
-791310.00,209
-790993.00,204
-790131.00,205.1
-789541.00,215.4
-788588.00,221.3
-788203.00,218.2
-787431.00,226.3
-786937.00,229.5
-786083.00,247.9
-785855.00,248.1
-785126.00,256.9
-784637.00,260.3
-783839.00,255.4
-783463.00,253.3
-782742.00,250.7
-782197.00,246.9
-781313.00,252.1
-780109.00,246.2
-779585.00,248.7
-778662.00,242.8
-778318.00,248.5
-777414.00,243.9
-776848.00,245.8
-775950.00,246.1
-775606.00,246.3
-774686.00,243.9
-774087.00,238.8
-773101.00,240.5
-772598.00,236.9
-771730.00,233.3
-771093.00,230
-770126.00,230.9
-769758.00,229.5
-769310.00,237.7
-769044.00,235.6
-768774.00,238.2
-768497.00,235.6
-768183.00,231.5
-767837.00,226
-767564.00,228.1
-767100.00,221.4
-766705.00,222.4
-765787.00,217.7
-765146.00,213.5
-764160.00,215.7
-763785.00,216.8
-762883.00,222.6
-762299.00,224.1
-761984.00,221.4
-761736.00,225.7
-761369.00,215
-760921.00,216
-760114.00,212
-759503.00,206.1
-758550.00,206.9
-758252.00,208.8
-757356.00,214.9
-756933.00,217.9
-756525.00,217.6
-756309.00,215.3
-756012.00,219.2
-755611.00,215
-754921.00,210.7
-754407.00,206
-753545.00,201.9
-753291.00,200.5
-752444.00,195.8
-752034.00,191.5
-751028.00,196.5
-750655.00,188
-749880.00,190.1
-749351.00,186.2
-748526.00,184
-748244.00,184.8
-747451.00,182.9
-746963.00,181.4
-746151.00,180.4
-745809.00,180.8
-745160.00,180.8
-744693.00,183.1
-743886.00,180.2
-742893.00,182
-742404.00,181.2
-741639.00,180.4
-741283.00,181.7
-740608.00,182.3
-740125.00,177.9
-739357.00,176.6
-739071.00,178.6
-738327.00,178.9
-737892.00,185
-737187.00,197.8
-736894.00,200.3
-736322.00,206.5
-735939.00,210.6
-735316.00,211.3
-735084.00,208.1
-734510.00,209.7
-734129.00,204.1
-733509.00,201.3
-733217.00,201.7
-732654.00,207.4
-732273.00,205.3
-731593.00,204.4
-731311.00,203.9
-730598.00,205.9
-730191.00,203.8
-729379.00,204.9
-728999.00,204.1
-728349.00,204
-726971.00,205.4
-726618.00,205.1
-725782.00,205.5
-725242.00,204.5
-724372.00,208.1
-723987.00,206.6
-723109.00,206.3
-722495.00,210.3
-721514.00,213.2
-721183.00,213.4
-720089.00,211.3
-719368.00,206.3
-718387.00,195.2
-717844.00,187.8
-716829.00,184.3
-716114.00,192.9
-715115.00,205
-714754.00,208.1
-713800.00,222.1
-713230.00,217.7
-712338.00,221.7
-711893.00,222.3
-710883.00,218.5
-709471.00,218.7
-709154.00,218.9
-708287.00,220.2
-707730.00,219.7
-704459.00,228.1
-704191.00,228.6
-703460.00,228.5
-703023.00,233.9
-702261.00,231.2
-701984.00,231.2
-701434.00,232.8
-701038.00,232.4
-700431.00,230.3
-700208.00,229.3
-699656.00,228.8
-699292.00,228.2
-698794.00,227.6
-698439.00,228.7
-697959.00,226
-697683.00,227.6
-697152.00,227.7
-696930.00,226.4
-696436.00,228
-696170.00,231
-695710.00,232.2
-695381.00,232.4
-695013.00,232.9
-694767.00,235.4
-694337.00,234.8
-694112.00,234.6
-693668.00,237.6
-693433.00,236.7
-692991.00,236.9
-692722.00,235.8
-692350.00,234.4
-692118.00,235.4
-691689.00,234.1
-691483.00,234.1
-691040.00,234.8
-690815.00,232.9
-690388.00,235.9
-690107.00,235.5
-689722.00,236.6
-689482.00,235.6
-689049.00,234
-688821.00,240
-688344.00,234.8
-688107.00,235.6
-687653.00,239.9
-687354.00,235.8
-686931.00,234.9
-686702.00,235.8
-686245.00,233
-685999.00,232.3
-685520.00,228.8
-685277.00,228.7
-684776.00,227.3
-684475.00,224.3
-684030.00,224.4
-683766.00,223.5
-683267.00,219.7
-682999.00,219.5
-682469.00,219.4
-682192.00,217.5
-681662.00,217.5
-681312.00,218.7
-680812.00,221.3
-680496.00,222.6
-679899.00,219.7
-679581.00,217.3
-678970.00,216.2
-678658.00,218.4
-678131.00,225
-677782.00,223
-677302.00,230.3
-676964.00,230.8
-676341.00,230
-676034.00,226.5
-675430.00,217.4
-675118.00,215.6
-674574.00,214
